swedish_name;english_name;latin_name
Hövre;Hyas araneus;Hyas araneus
Maskeringskrabba;Hyas coarctatus;Hyas coarctatus
Tobiskung;Greater sandeel;Hyperoplus lanceolatus
Silverkarp;Silver carp;Hypophthalmichthys molitrix
Marmorkarp;Bighead carp;Hypophthalmichthys nobilis
Dvärgmal;Horned Pout (American Catfish);Ictalurus nebulosus
Illex illecebrosus 10-armad bläckfisk;Shortfinned squid;Illex illecebrosus
Bonit;Oceanic Bonito;Katsuwonus pelamis
Berggylta;Ballan wrasse;Labrus bergylta
Blågylta;Cuckoo wrasse;Labrus mixtus
Håbrand;Porbeagle;Lamna nasus
Flodnejonöga;European River Lamprey;Lampetra fluviatilis
Bäcknejonöga;Brook lamprey;Lampetra planeri
Glansfisk;Opah;Lampris guttatus
Gråtrut;Larus argentatus;Larus argentatus
Fiskmås;Larus canus;Larus canus
Silltrut;Larus fuscus;Larus fuscus
Havstrut;Larus marinus;Larus marinus
Dvärgmås;Larus minutus;Larus minutus
Skrattmås;Larus ridibundus;Larus ridibundus
Dvärgstubb;Guillet's goby;Lebetus guilleti
Simpstubb;Diminutive goby;Lebetus scorpioides
Glasvar;Megrim;Lepidorhombus whiffiagonis
Smalbottenmus;Atlantic pocher;Leptagonus decagonus
Trubblångebarn;Spotted Snake Blenny;Leptoclinus maculatus
